Date acquired,Date sold,Symbol,Quantity,Cost basis,Gross proceeds,Gross PnL,Fees,Net PnL,Currency
2025-05-09,2025-05-09,SOL,0.079418,13.78,13.50,-0.28,0.00,-0.28,USD
2025-05-09,2025-05-09,SOL,0.790582,137.17,134.33,-2.84,0.00,-2.84,USD
2025-05-09,2025-05-09,SOL,0.265393,46.04,45.10,-0.94,0.00,-0.94,USD
2025-05-09,2025-05-09,SOL,0.1,17.35,16.99,-0.36,0.00,-0.36,USD
2025-05-09,2025-05-09,SOL,0.020596,3.56,3.50,-0.06,0.00,-0.06,USD
2025-05-09,2025-05-09,SOL,0.006558,1.12,1.12,0.00,0.00,0.00,USD
2025-05-09,2025-05-09,SOL,0.261955,45.00,44.99,-0.01,0.00,-0.01,USD
2025-05-09,2025-05-09,SOL,0.327444,56.25,56.25,0.00,0.00,0.00,USD
2025-05-09,2025-05-09,SOL,0.61495,105.64,105.65,0.01,0.00,0.01,USD
2025-05-09,2025-05-09,SOL,0.072084,12.39,12.38,-0.01,0.00,-0.01,USD
2025-05-09,2025-05-09,SOL,0.35426,60.88,60.82,-0.06,0.00,-0.06,USD
2025-05-09,2025-05-09,SOL,0.204922,35.22,35.18,-0.04,0.00,-0.04,USD
2025-05-09,2025-05-09,SOL,0.065507,11.23,11.25,0.02,0.00,0.02,USD
2025-05-09,2025-05-09,SOL,1.147539,196.78,197.01,0.23,0.00,0.23,USD
2025-05-09,2025-05-09,SOL,0.195643,33.67,33.72,0.05,0.00,0.05,USD
2025-05-09,2025-05-09,SOL,0.982353,169.07,168.79,-0.28,0.00,-0.28,USD
2025-05-09,2025-05-10,BTC,0.00013534,13.95,14.00,0.05,0.00,0.05,USD
2025-05-10,2025-05-10,BTC,0.00054178,56.18,56.14,-0.04,0.00,-0.04,USD
2025-05-10,2025-05-10,BTC,0.00075848,78.64,78.59,-0.05,0.00,-0.05,USD
2025-05-10,2025-05-10,BTC,0.00001084,1.12,1.12,0.00,0.00,0.00,USD
2025-05-10,2025-05-10,BTC,0.00016261,16.86,16.84,-0.02,0.00,-0.02,USD
2025-05-10,2025-05-10,BTC,0.00069831,72.40,72.31,-0.09,0.00,-0.09,USD
2025-05-10,2025-05-10,BTC,0.00005415,5.62,5.61,-0.01,0.00,-0.01,USD
2025-05-10,2025-05-10,BTC,0.00015122,15.69,15.66,-0.03,0.00,-0.03,USD
2025-05-10,2025-05-10,BTC,0.00001085,1.12,1.12,0.00,0.00,0.00,USD
2025-05-10,2025-05-10,BTC,0.00001085,1.12,1.12,0.00,0.00,0.00,USD
2025-05-10,2025-05-10,BTC,0.00001085,1.12,1.12,0.00,0.00,0.00,USD
2025-05-10,2025-05-10,BTC,0.00008131,8.44,8.42,-0.02,0.00,-0.02,USD
2025-05-10,2025-05-10,BTC,0.00108402,112.49,112.27,-0.22,0.00,-0.22,USD
2025-05-10,2025-05-10,BTC,0.00054201,56.25,56.14,-0.11,0.00,-0.11,USD
2025-05-10,2025-05-10,BTC,0.00023815,24.71,24.65,-0.06,0.00,-0.06,USD
2025-05-10,2025-05-10,BTC,0.00000832,0.87,0.86,-0.01,0.00,-0.01,USD
2025-05-10,2025-05-10,BTC,0.0021894,227.07,226.85,-0.22,0.21,-0.43,USD
2025-05-11,2025-05-11,BTC,0.00054113,56.19,56.14,-0.05,0.00,-0.05,USD
2025-05-11,2025-05-11,BTC,0.00054318,56.39,56.31,-0.08,0.00,-0.08,USD
2025-05-11,2025-05-11,BTC,0.00055206,57.32,57.27,-0.05,0.00,-0.05,USD
2025-05-11,2025-05-11,BTC,0.00053283,55.32,55.27,-0.05,0.00,-0.05,USD
2025-05-11,2025-05-11,BTC,0.00054318,56.30,56.35,0.05,0.00,0.05,USD
2025-05-11,2025-05-11,BTC,0.00002164,2.25,2.25,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00003245,3.37,3.37,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00001082,1.12,1.12,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00100595,104.55,104.41,-0.14,0.00,-0.14,USD
2025-05-11,2025-05-11,BTC,0.00109834,114.16,114.00,-0.16,0.00,-0.16,USD
2025-05-11,2025-05-11,BTC,0.0022044,229.17,228.96,-0.21,0.00,-0.21,USD
2025-05-11,2025-05-11,BTC,0.00004305,4.49,4.49,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00025826,26.96,26.94,-0.02,0.00,-0.02,USD
2025-05-11,2025-05-11,BTC,0.00002153,2.25,2.25,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00187449,195.69,195.56,-0.13,0.00,-0.13,USD
2025-05-11,2025-05-11,BTC,0.00010225,10.68,10.68,0.00,0.00,0.00,USD
2025-05-11,2025-05-11,BTC,0.00207742,216.92,217.02,0.10,0.00,0.10,USD
2025-05-11,2025-05-11,BTC,0.00004518,4.74,4.71,-0.03,0.00,-0.03,USD
2025-05-11,2025-05-11,BTC,0.00027096,28.39,28.25,-0.14,0.03,-0.17,USD
2025-05-11,2025-05-11,BTC,0.00189006,197.96,197.04,-0.92,0.18,-1.10,USD
2025-05-12,2025-05-12,BTC,0.00026171,27.60,27.57,-0.03,0.00,-0.03,USD
2025-05-12,2025-05-12,BTC,0.00105499,111.28,111.21,-0.07,0.00,-0.07,USD
2025-05-12,2025-05-12,BTC,0.00080194,84.58,84.42,-0.16,0.00,-0.16,USD
2025-05-12,2025-05-12,BTC,0.00052743,55.58,55.53,-0.05,0.05,-0.10,USD
2025-05-12,2025-05-12,BTC,0.00026372,27.79,27.77,-0.02,0.03,-0.05,USD
2025-05-12,2025-05-12,BTC,0.00137191,144.58,143.08,-1.50,0.13,-1.63,USD
2025-05-12,2025-05-12,BTC,0.00055808,58.42,58.21,-0.21,0.00,-0.21,USD
2025-05-12,2025-05-12,BTC,0.00023878,24.99,24.90,-0.09,0.00,-0.09,USD
2025-05-12,2025-05-12,BTC,0.00215017,224.69,224.58,-0.11,0.00,-0.11,USD
2025-05-12,2025-05-12,BTC,0.00219026,228.85,228.90,0.05,0.00,0.05,USD
2025-05-12,2025-05-12,BTC,0.00011173,11.65,11.36,-0.29,0.01,-0.30,USD
2025-05-12,2025-05-12,BTC,0.0005413,56.47,55.09,-1.38,0.06,-1.44,USD
2025-05-12,2025-05-12,BTC,0.00153691,160.31,156.43,-3.88,0.14,-4.02,USD
2025-05-12,2025-05-13,BTC,0.00217964,221.59,223.99,2.40,0.00,2.40,USD
2025-05-13,2025-05-13,BTC,0.00219615,226.65,228.96,2.31,0.00,2.31,USD
2025-05-13,2025-05-13,BTC,0.00221986,231.30,232.66,1.36,0.21,1.15,USD
2025-05-14,2025-05-15,PEPE,8359780,116.76,115.59,-1.17,0.11,-1.28,USD
2025-05-15,2025-05-15,PEPE,8765950,114.81,117.81,3.00,0.11,2.89,USD
2025-05-15,2025-05-16,PEPE,8220850,108.24,111.60,3.36,0.00,3.36,USD
2025-05-15,2025-05-16,PEPE,791980,10.43,10.75,0.32,0.00,0.32,USD
2025-05-16,2025-05-18,PEPE,1659750,22.07,22.24,0.17,0.02,0.15,USD
2025-05-16,2025-05-18,PEPE,3477930,46.25,46.62,0.37,0.05,0.32,USD
2025-05-16,2025-05-18,PEPE,4025530,53.51,53.95,0.44,0.05,0.39,USD
2025-05-14,2025-05-18,BTC,0.00112604,116.90,119.43,2.53,0.00,2.53,USD
2025-05-19,2025-05-21,XRP,51.2025,119.37,123.71,4.34,0.11,4.23,USD
2025-05-18,2025-05-22,PEPE,8939160,122.78,128.38,5.60,0.12,5.48,USD
2025-05-18,2025-05-22,BONK,1122177,22.32,24.53,2.21,0.02,2.19,USD
2025-05-18,2025-05-22,BONK,2486325,50.00,54.36,4.36,0.06,4.30,USD
2025-05-22,2025-05-22,XRP,52.00945,124.68,125.88,1.20,0.12,1.08,USD
2025-05-22,2025-05-22,PEPE,2405520,34.67,34.26,-0.41,0.03,-0.44,USD
2025-05-22,2025-05-22,PEPE,6463260,93.14,92.05,-1.09,0.09,-1.18,USD
2025-05-23,2025-05-24,PEPE,8333330,113.77,117.07,3.30,0.00,3.30,USD
2025-05-24,2025-05-24,PEPE,8553820,117.18,119.61,2.43,0.00,2.43,USD
2025-05-24,2025-05-24,PEPE,403230,5.55,5.67,0.12,0.00,0.12,USD
2025-05-24,2025-05-24,PEPE,4032260,55.51,56.70,1.19,0.00,1.19,USD
2025-05-24,2025-05-24,PEPE,12090290,166.46,170.00,3.54,0.00,3.54,USD
2025-05-23,2025-05-28,XRP,22.56724,54.03,52.26,-1.77,0.00,-1.77,USD
2025-05-28,2025-05-28,PEPE,1881790,26.02,26.10,0.08,0.00,0.08,USD
2025-05-28,2025-05-28,PEPE,6280360,86.85,87.11,0.26,0.00,0.26,USD
2025-05-23,2025-05-28,XRP,24.82612,59.44,57.44,-2.00,0.00,-2.00,USD
2025-05-28,2025-05-28,XRP,2.14923,4.94,4.98,0.04,0.00,0.04,USD
2025-05-28,2025-05-28,PEPE,370800,5.13,5.14,0.01,0.00,0.01,USD
2025-05-28,2025-05-28,PEPE,8382930,113.43,117.46,4.03,0.00,4.03,USD
2025-05-28,2025-05-28,PEPE,8979200,122.89,125.09,2.20,0.11,2.09,USD
2025-05-28,2025-05-28,PEPE,8840700,120.95,122.12,1.17,0.00,1.17,USD
2025-05-28,2025-05-28,XRP,47.39336,108.90,107.44,-1.46,0.10,-1.56,USD
2025-05-28,2025-05-28,XRP,5.10664,11.56,11.58,0.02,0.00,0.02,USD
2025-05-29,2025-06-10,PEPE,3499840,48.60,45.94,-2.66,0.00,-2.66,USD
2025-05-29,2025-06-10,PEPE,14021040,194.81,184.04,-10.77,0.00,-10.77,USD
2025-06-01,2025-06-10,PEPE,4933880,56.80,64.76,7.96,0.00,7.96,USD
2025-06-10,2025-06-11,PEPE,4405290,57.02,56.97,-0.05,0.00,-0.05,USD
2025-06-10,2025-06-11,PEPE,4436440,57.42,57.37,-0.05,0.00,-0.05,USD
2025-06-11,2025-06-11,PEPE,9020870,114.90,118.26,3.36,0.00,3.36,USD
2025-05-28,2025-06-11,XRP,47.39336,107.29,110.51,3.22,0.00,3.22,USD
2025-06-10,2025-06-11,XRP,79.69773,180.84,185.83,4.99,0.00,4.99,USD
2025-06-11,2025-07-10,PEPE,1530,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-10,PEPE,8795970,115.07,100.27,-14.80,0.00,-14.80,USD
2025-06-17,2025-07-10,PEPE,4461150,45.15,50.86,5.71,0.00,5.71,USD
2025-06-17,2025-07-10,PEPE,1221050,12.36,13.92,1.56,0.00,1.56,USD
2025-06-11,2025-07-11,TRX,0.0576,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-11,TRX,0.0576,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-11,TRX,0.0576,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-11,TRX,0.0575,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-11,TRX,0.0575,0.02,0.01,-0.01,0.00,-0.01,USD
2025-06-11,2025-07-12,TRX,407.5305,118.64,122.65,4.01,0.00,4.01,USD
2025-07-12,2025-07-13,HBAR,0.0907,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0908,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0908,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0908,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0907,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0908,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0908,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0882,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0881,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.088,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0881,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,100,20.09,20.60,0.51,0.00,0.51,USD
2025-07-12,2025-07-13,HBAR,0.0882,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0884,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0884,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0882,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0882,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0883,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0884,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0883,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0884,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0882,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0884,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,0.0883,0.02,0.02,0.00,0.00,0.00,USD
2025-07-12,2025-07-13,HBAR,511.4403,102.67,105.29,2.62,0.00,2.62,USD
2025-07-13,2025-07-13,HBAR,0.0793,0.02,0.02,0.00,0.00,0.00,USD
2025-07-13,2025-07-13,HBAR,565.8806,126.85,132.36,5.51,0.00,5.51,USD
2025-07-13,2025-07-16,HBAR,0.0714,0.02,0.01,-0.01,0.00,-0.01,USD
2025-07-13,2025-07-16,HBAR,0.0027,0.00,0.00,0.00,0.00,0.00,USD
2025-07-13,2025-07-16,HBAR,0.0688,0.02,0.01,-0.01,0.00,-0.01,USD
2025-07-13,2025-07-16,HBAR,0.0716,0.02,0.01,-0.01,0.00,-0.01,USD
2025-07-31,2025-08-08,PEPE,4837890,56.17,57.05,0.88,0.06,0.82,USD
2025-08-13,2025-08-16,ETC,2.463054,58.63,54.36,-4.27,0.06,-4.33,USD
2025-08-08,2025-08-16,XLM,10.2449,4.67,4.35,-0.32,0.00,-0.32,USD
2025-08-08,2025-08-16,XLM,115.6781,52.62,49.13,-3.49,0.06,-3.55,USD
2025-07-13,2025-08-22,HBAR,241.8182,58.05,58.91,0.86,0.00,0.86,USD
2025-07-13,2025-08-22,HBAR,312.3087,74.98,76.09,1.11,0.00,1.11,USD
2025-08-22,2025-08-28,HBAR,540.6343,135.68,129.11,-6.57,0.24,-6.81,USD
2025-08-28,2025-09-17,HBAR,545.4021,130.40,133.25,2.85,0.00,2.85,USD
2025-09-26,2025-09-26,HBAR,558.8995,116.75,120.62,3.87,0.11,3.76,USD
2025-09-27,2025-10-01,HBAR,567.1609,121.06,126.78,5.72,0.00,5.72,USD
2025-10-02,2025-10-02,HBAR,50.2796,11.32,11.45,0.13,0.00,0.13,USD
2025-10-02,2025-10-02,HBAR,514.7699,115.84,117.12,1.28,0.00,1.28,USD
2025-10-02,2025-10-06,HBAR,564.6459,128.49,130.64,2.15,0.12,2.03,USD
